Type,Name,Identifiers,Remarks,Condition
River,Abbert,"30A01-0028 Q4 (2012)
30A01-0100 Q4 (2012)
30A01-0300 Q3-4 (2012)
30A01-0500 Q4 (2012)",Good status observed in 2012 survey at all stations except station 0300. Nitrate concentration elevated at 0300 and 0500 in 2013.,sad
River,Ahascragh,"26A010050 Q4 (2012)
26A010200 Q4 (2012)
26A010400 Q3 (2012)
26A010500 Q4 (2012)",No survey since 2011 where all locations were satisfactory except 0400. Not on chemical monitoring programme.,sad
River,Ballinaboy,"32B07-0100 Q2-3 (2012)
32B07-0300 Q3-4 (2012)",Unsatisfactory condition in 2012 biological Q survey. 2013 chemistry satisfactory at 0100. No chemical monitoring at 0300.,sad
River,Ballycuirke,30B14-0100 Q3 (2012),Unsatisfactory condition (poor Q status). 2013 chemistry satisfactory at 0100. Investigative monitoring on-going.,sad
River,Barnacullia,Q3-4 (2012),"Unsatisfactory in 2012 survey. Not on chemical
monitoring programme
",sad
River,Bealanabrack,"30B01-0050 Q4 (2012)
30B01-0200 Q4 (2012)",Satisfactory condition in 2012 survey. 2013 chemistry satisfactory at 0200.,happy
River,Bearna House Stream,31B02-0600,No biological assessment available. 2013 chemistry satisfactory at 0600.,meh
River,Bearna Stream (Freeport),31B01-0300,No biological assessment available. High phosphate and elevated nitrate concentrations at 0300 in 2013.,sad
River,Black (Shrule),"30B02-0100 Q4 (2012)    
30B02-0200 Q4 (2012)    
30B02-0300 Q3-4 (2012)
30B02-0600 Q4 (2012)",Satisfactory in 2012 but some deterioration at 0200 and 0300. Elevated nitrate at 0300 and 0400 in 2013.,sad
River,Bunowen (Killary Harbour),32B04-0100 Q4-5 (2012),Satisfactory conditon in 2012 survey. 2013 chemistry satisfactory at 0100.,happy
River,Cannahowna,"29C01-0100  
29C01-0200 Q4 (2012)",Satisfactory condition at 0200 in 2012 survey. Ammonia concentration high at 0200 and elevated at 0100 also in 2013.,sad
River,Carra Stream,"29C03-0900 Q3-4 (2012)  
29C03-1000 Q4 (2012)    
29C03-1700 Q4 (2012)
29C03-2000 Q4 (2012)",Unsatisfcatory at upper monitoring station (0900). 2013 chemistry satisfactory at 1000 (only chemistry monitoring point).,sad
River,Carrowmoneash,29C05-0400,"No biological assessment available. High ammonia, BOD and phosphate concentrations at 0400 in 2013.",sad
River,Casla,31C01-0100 Q4-5 (2012),Satisfactory in 2012 survey. 2013 chemistry satisfactory at 0100.,happy
River,Castlegar,"26C030080 Q4 (2011) 
26C030100 Q3-4 (2011)   
26C030200 Q3 (2011)",No biological survey results available since 2011 survey where 0100 and 0200 were unsatisfactory. Not on chemical monitoring programme.,sad
River,Castlelodge,"27C010700 Q3 (2010) 
27C010800 Q3 (2010)",Unsatisfactory condition when surveyed last in 2010. Not on chemical monitoring programme.,sad
River,Clare,"30C01-0100 Q3-4 (2012)  
30C01-0500 Q4 (2012)    
30C01-0650 Q4 (2012)    
30C01-0700 Q4 (2012)
30C01-0800 Q3-4 (2012)  
30C01-1000 Q4 (2012)    
30C01-1100 Q3-4 (2012)  
30C01-1200  
30C01-1300","Elevated nitrate concentrations at all stations (0100, 0500, 0700, 0800, 1000, 1100, 1200 and 1300) in 2013. 2012 survey incomplete but improvement observed downstream of Tuam at 0650 and 0700. Unsatisfactory condition at 0800 (Corrofin Bridge) and investigation on-going. Also unsatisfactory at 1100 downstream of Claregalway.",sad
River,Clarinbridge,"29C02-0040 Q4 (2012)    
29C02-0050  
29C02-0200  
29C02-0300 Q2-3 (2012)
29C02-0400 Q3 (2012)    
29C02-0500","Unsatisfactory conditions at 0300 and 0400 in 2013 survey. High ammonia and phosphate concentrations and elevated nitrate at 0300 in 2013. Ammonia, phosphate and nitrate elevated at 0400 and nitrate elevated at 0500.",sad
River,Cloonfad,30C11-0300 Q3-4 (2012),Unsatisfactory condition in 2012 survey. Not on chemical monitoring programme.,sad
River,Cloughbrack Stream,30C05-0100 ,No biological assessment available. 2013 chemistry satisfactory at 0100.,meh
River,Corrib,"30C02-0460  
30C02-0600 Q4 (2012)",Satisfactory  conditon  at  0600  in  2012.  2013 chemistry satisfactory at 0460 and 0600.,happy
River,Cregg,"30C03-0100  
30C03-0150 Q3-4 (2012)  
30C03-0300",Unsatisfactory condition at 0150 in 2012. Elevated nitrate concentrations at 0100 and 0300 in 2013.,sad
River,Crumlin (Galway Bay),31C02-0100 Q4 (2012) ,Satisfactory in 2012 survey. 2013 chemistry satisfactory at 0100.,happy
River,Culfin,"32C04-0020 Q4 (2012)    
32C04-0040 Q3-4 (2012)  
32C04-0200 Q4 (2012)",Unsatisfactory condition between Lough Fee and Lough Muck. 2013 chemistry satisfactory at 0040 (only chemistry monitoring station).,sad
River,Dalgan,"30D01-0100 Q4 (2012)    
30D01-0200 Q3 (2012)    
30D01-0300 Q3-4 (2012)  
30D01-0400 Q3-4 (2012)
30D01-0500 Q3-4 (2012)
30D01-0600 Q4 (2012)",Unsatisfactory downstream of Ballyhaunis (0200 and 0300) and further downstream (0300 and 0400). Nitrate concentrations elevated at 0600 (only chemical monitoring station) in 2013.,sad
River,Dawros,"32D01-0020 Q4 (2012)    
32D01-0100 Q4-5 (2012)  
32D01-0200 Q4-5 (2012)",Satisfactory conditions in 2012 survey. 2013 chemistry satisfactory at chemistry monitoring stations 0100 and 0200.,happy
River,Dooghta,"30D02-0050 Q4 (2012)    
30D02-0100 Q3-4 (2012)  
30D02-0200",Serious decline in Q status at 0100 since previous survey  in  2009.  2013  chemistry  satisfactory  at 0200 (only chemical monitoring station).,sad
River,Eyrecourt Stream," 25E010100 Q2-3 (2012)
 25E010200 Q2-3 (2012)","Unsatisfactory condition in 2012 survey. Not on
 chemical monitoring programme.",sad
River,Failmore,30F01-0100 Q4 (2012),Decline in Q status observed in 2012 survey. 2013 chemistry satisfactory at 0100.,sad
River,Finny,30F03-0100 Q4-5 (2012),Satisfactory condition in 2012 survey. 2013 chemistry satisfactory at 0100.,happy
River,Gortgarrow Stream,30SG05-0025 Q3 (2012),Unsatisfactory condition in 2012 survey. Not on chemical monitoring programme.,sad
River,Grange (Galway)," 30G02-0120 Q4 (2012)
 30G02-0200 Q4 (2012)
 30G02-0300 Q4 (2012)
 30G02-0400 Q4 (2012)
 30G02-0500 Q4 (2012)
 30G02-0600 Q4 (2012)","Improvement noted in 2012 survey, now satisfactory over length of river. Nitrate concentrations elevated at 0200 and 0600 in 2013, chemistry satisfactory at 0400.",happy
River,Headford Stream," 30H01-0200
 30H01-0300",Nitrate concentrations elevated at 0220 and 0300 in 2013. No recent biological assessment available (satisfactory in 2009).,meh
River,Invermore," 31I01-0080 Q3-4 (2012)
 31I01-0500 Q3-4 (2012)",Unsatisfactory condition in 2012 survey. Not on chemical monitoring programme.,sad
River,Kilcolgan," 29K01-0100
 29K01-0200 Q3 (2012)
 29K01-0300 Q4 (2012)
 29K01-0400 Q4 (2012)
 29K01-0600
 29K01-0700","Unsatisfactory conditions at 0200 in 2012 survey. In 2013 there were high phosphate concentrations at 0100, 0200 and 0400. High ammonia concentrations at 0100 and elevated nitrate concentrations at 0200.",sad
